Explainer_name,ExplainabilityTechnique,Dataset Type,ExplanationType,Concurrentness,Portability,Scope,Target,InformationContentEntity,computational_complexity,AI_Method,AI_Task,Implementation_Framework,Model_Access,Data_required,popularity
/Images/Anchors,Anchor,image,Anchor Explanation,post-hoc,model-agnostic,local,prediction,annotated_image / image,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",No,1
/Images/Counterfactuals,Wachter,image,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,annotated_image / image,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,TensorFlow2,"File, API",No,3
/Images/GradCam,GradCam_Technique,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,2
/Images/LIME,LIME,image,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,annotated_image / image,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",No,1
/Images/IntegratedGradients,Integrated Gradient Technique,image,Contrasting Feature Importance Explanation,post-hoc,modelClassSpecific,local,prediction,heat_map,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,3
/Images/NearestNeighbours,Data-driven ,image,Neighbourhood Explanation,post-hoc,modelClassSpecific,local,prediction,image,exponential_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2","File, API",Yes,2
/Images/SSIMNearestNeighbours,Data-driven ,image,Neighbourhood Explanation,post-hoc,model-agnostic,local,prediction,image,exponential_time,Machine_Learning,Classification,Any,"File, API",Yes,2
/Images/SSIMCounterfactuals,Wachter,image,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,image,exponential_time,Machine_Learning,Classification,Any,"File, API",Yes,3
/Images/ClassificationReport,Data-driven ,image,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Any,"File, API",Yes,2
/Images/ConfusionMatrix,Data-driven ,image,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Any,"File, API",Yes,1
/Images/Saliency,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,3
/Images/GradientInput,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/GuidedBackprop,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,1
/Images/GradCam++,GradCam_Technique,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,3
/Images/SmoothGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,2
/Images/SquareGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,1
/Images/VarGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,3
/Images/FORGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/DeconvNet,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/Sobol,Feature_Relevance,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,exponential_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,1
