,Use_Case,Random_Tree,Original_BT_Timeliness,Original_BT_Popularity,Original_BT_Completeness,Original_BT_Diversity,Original_BT_Serendipity,Original_BT_Granularity,Original_BT_#_Nodes,Original_BT_#_Explainers,Original_BT_#_Applicable_Explainers,Explainer_Reuse_Result_Timeliness,Explainer_Reuse_Result_Popularity,Explainer_Reuse_Result_Completeness,Explainer_Reuse_Result_Diversity,Explainer_Reuse_Result_Serendipity,Explainer_Reuse_Result_Granularity,Explainer_Reuse_Result_#_Nodes,Explainer_Reuse_Result_#_Explainers,Explainer_Reuse_Result_#_Applicable_Explainers,BT_Reuse_Result_Timeliness,BT_Reuse_Result_Popularity,BT_Reuse_Result_Completeness,BT_Reuse_Result_Diversity,BT_Reuse_Result_Serendipity,BT_Reuse_Result_Granularity,BT_Reuse_Result_#_Nodes,BT_Reuse_Result_#_Explainers,BT_Reuse_Result_#_Applicable_Explainers,Explainer_BT_Reuse_Result_Timeliness,Explainer_BT_Reuse_Result_Popularity,Explainer_BT_Reuse_Result_Completeness,Explainer_BT_Reuse_Result_Diversity,Explainer_BT_Reuse_Result_Serendipity,Explainer_BT_Reuse_Result_Granularity,Explainer_BT_Reuse_Result_#_Nodes,Explainer_BT_Reuse_Result_#_Explainers,Explainer_BT_Reuse_Result_#_Applicable_Explainers
0,0,0,0.5714285714285714,0.5,0.43333333333333335,0.5666666666666667,"(False, 'No serendipia')",0.425,8,3,1,0.8571428571428571,0.0,0.5,0.5,"(False, 'No serendipia')",0.425,8,3,3,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
1,0,1,0.8571428571428571,0.7,0.6333333333333333,0.3666666666666667,"(False, 'No serendipia')",0.35,12,5,2,0.8571428571428571,0.09999999999999998,0.6166666666666667,0.3833333333333333,"(False, 'No serendipia')",0.35,12,5,5,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
2,0,2,0.5714285714285714,0.5,0.65,0.35,"(False, 'No serendipia')",0.35,12,5,3,0.5714285714285714,0.375,0.6000000000000001,0.3999999999999999,"(False, 'No serendipia')",0.32499999999999996,12,4,4,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
3,0,3,0.5714285714285714,0.0,0.4,0.6,"(False, 'No serendipia')",0.3333333333333333,6,2,0,0.8571428571428571,0.25,0.3333333333333333,0.6666666666666667,"(False, 'No serendipia')",0.3333333333333333,6,2,2,0.5714285714285714,1.0,1.0,0.0,"(False, 'No serendipia')",0.4,4,1,1,0.2857142857142857,0.5,1.0,0.0,"(False, 'No serendipia')",0.4,4,1,1
4,0,4,0.8571428571428571,0.33333333333333337,0.5666666666666667,0.43333333333333335,"(False, 'No serendipia')",0.3,8,3,2,0.8571428571428571,0.33333333333333337,0.6333333333333333,0.3666666666666667,"(False, 'No serendipia')",0.3,8,3,3,0.2857142857142857,0.5,1.0,0.0,"(False, 'No serendipia')",0.4,4,1,1,0.2857142857142857,0.5,1.0,0.0,"(False, 'No serendipia')",0.4,4,1,1
5,0,5,0.5714285714285714,0.5,0.46666666666666673,0.5333333333333332,"(False, 'No serendipia')",0.32499999999999996,12,4,1,0.8571428571428571,0.19999999999999996,0.6333333333333333,0.3666666666666667,"(False, 'No serendipia')",0.35,12,5,5,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
6,0,6,0.5714285714285714,0.16666666666666663,0.7,0.30000000000000004,"(False, 'No serendipia')",0.425,8,3,3,0.5714285714285714,0.16666666666666663,0.7,0.30000000000000004,"(False, 'No serendipia')",0.425,8,3,3,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
7,0,7,0.8571428571428571,0.8333333333333333,0.5666666666666667,0.43333333333333335,"(False, 'No serendipia')",0.425,8,3,1,0.8571428571428571,0.5,0.5666666666666667,0.43333333333333335,"(False, 'No serendipia')",0.425,8,3,3,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
8,0,8,0.5714285714285714,0.875,0.6666666666666666,0.33333333333333337,"(False, 'No serendipia')",0.38,10,4,0,0.5714285714285714,0.25,0.5555555555555555,0.44444444444444453,"(False, 'No serendipia')",0.38,10,4,4,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
9,0,9,0.8571428571428571,0.19999999999999996,0.6333333333333333,0.3666666666666667,"(False, 'No serendipia')",0.35,12,5,3,0.8571428571428571,0.125,0.5777777777777777,0.4222222222222223,"(False, 'No serendipia')",0.32499999999999996,12,4,4,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2,0.8571428571428571,0.75,0.5,0.5,"(False, 'No serendipia')",0.41666666666666663,6,2,2
